person,personLabel,work,workLabel
http://www.wikidata.org/entity/Q8772891,The Captain,http://www.wikidata.org/entity/Q16522241,Hellsing
http://www.wikidata.org/entity/Q9300505,Rarity,http://www.wikidata.org/entity/Q5415,My Little Pony: Friendship Is Magic
http://www.wikidata.org/entity/Q9356349,Tehanu,http://www.wikidata.org/entity/Q717326,The Other Wind
http://www.wikidata.org/entity/Q9356349,Tehanu,http://www.wikidata.org/entity/Q2261855,Tehanu
http://www.wikidata.org/entity/Q11910388,Vernon Dursley,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q11910388,Vernon Dursley,http://www.wikidata.org/entity/Q216930,Harry Potter
http://www.wikidata.org/entity/Q15269000,Mr. Evans,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q15269001,Mrs. Evans,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q15269548,Bob Hitchens,http://www.wikidata.org/entity/Q8337,Harry Potter
http://www.wikidata.org/entity/Q16562904,Hayley Marshall,http://www.wikidata.org/entity/Q28537,The Vampire Diaries
http://www.wikidata.org/entity/Q16562904,Hayley Marshall,http://www.wikidata.org/entity/Q4307100,The Originals
http://www.wikidata.org/entity/Q26722591,Elliot,http://www.wikidata.org/entity/Q1332299,Pete's Dragon
http://www.wikidata.org/entity/Q26722591,Elliot,http://www.wikidata.org/entity/Q18786473,Pete's Dragon
http://www.wikidata.org/entity/Q27925225,Jacob Kowalski,http://www.wikidata.org/entity/Q18199330,Fantastic Beasts and Where to Find Them
http://www.wikidata.org/entity/Q28133830,Q28133830,http://www.wikidata.org/entity/Q333637,"Nu, pogodi!"
http://www.wikidata.org/entity/Q28877635,The Dragon,http://www.wikidata.org/entity/Q175607,The Reluctant Dragon
http://www.wikidata.org/entity/Q28877635,The Dragon,http://www.wikidata.org/entity/Q16254942,The Reluctant Dragon
http://www.wikidata.org/entity/Q28877635,The Dragon,http://www.wikidata.org/entity/Q28225260,The Reluctant Dragon
http://www.wikidata.org/entity/Q29312878,Donkey Unicorn,http://www.wikidata.org/entity/Q3507876,The Pastoral Symphony
http://www.wikidata.org/entity/Q29380499,Wolfie,http://www.wikidata.org/entity/Q1571849,Halloweentown
http://www.wikidata.org/entity/Q30060419,The Unicorn,http://www.wikidata.org/entity/Q176198,The Last Unicorn
http://www.wikidata.org/entity/Q30060419,The Unicorn,http://www.wikidata.org/entity/Q967268,The Last Unicorn
http://www.wikidata.org/entity/Q2436256,Kinnikuman,http://www.wikidata.org/entity/Q2412868,Kinnikuman
http://www.wikidata.org/entity/Q2440311,Tomahawk,http://www.wikidata.org/entity/Q28938056,Tomahawk
http://www.wikidata.org/entity/Q2519747,Ozymandias,http://www.wikidata.org/entity/Q128444,Watchmen
http://www.wikidata.org/entity/Q2526061,Lara Lor-Van,http://www.wikidata.org/entity/Q180228,Smallville
http://www.wikidata.org/entity/Q2526966,Deathlok,http://www.wikidata.org/entity/Q537911,Agents of S.H.I.E.L.D.
http://www.wikidata.org/entity/Q908772,Meg Griffin,http://www.wikidata.org/entity/Q5930,Family Guy
http://www.wikidata.org/entity/Q910881,Majin Boo,http://www.wikidata.org/entity/Q477916,Dragon Ball Z
http://www.wikidata.org/entity/Q912184,Jiraiya,http://www.wikidata.org/entity/Q642,Naruto
http://www.wikidata.org/entity/Q912969,Sailor Pluto,http://www.wikidata.org/entity/Q1643098,Sailor Moon
http://www.wikidata.org/entity/Q913373,Sailor Saturn,http://www.wikidata.org/entity/Q1643098,Sailor Moon
http://www.wikidata.org/entity/Q914655,Guybrush Threepwood,http://www.wikidata.org/entity/Q533239,Monkey Island
http://www.wikidata.org/entity/Q916862,Q916862,http://www.wikidata.org/entity/Q219610,Shaman King
http://www.wikidata.org/entity/Q919407,Wicked fairy godmother,http://www.wikidata.org/entity/Q838051,The Sleeping Beauty
http://www.wikidata.org/entity/Q919407,Wicked fairy godmother,http://www.wikidata.org/entity/Q27134782,The Beauty Sleeping in the Wood
http://www.wikidata.org/entity/Q919407,Wicked fairy godmother,http://www.wikidata.org/entity/Q27134855,Little Briar Rose
